#Category;Date;Start;Stop;Comment
Mechanical Inspection;2024-08-12;10:00;11:15;Car 114 Inspection Bay 1
Mechanical Inspection;2024-08-12;10:00;11:15;Car 124 Inspection Bay 11
Mechanical Inspection;2024-08-12;10:00;11:15;Car 13 Inspection Bay 12
Mechanical Inspection;2024-08-12;10:00;11:15;Car 66 Inspection Bay 22
Mechanical Inspection;2024-08-12;10:00;11:15;Car 50 Inspection Bay 23
Mechanical Inspection;2024-08-12;10:00;11:15;Car 78 Inspection Bay 33
Mechanical Inspection;2024-08-12;10:00;11:15;Car 42 Inspection Bay 34
Accumulator Inspection;2024-08-12;10:00;11:45;Car 92 Inspection Bay 2
Accumulator Inspection;2024-08-12;10:00;11:45;Car 54 Inspection Bay 3
Accumulator Inspection;2024-08-12;10:00;11:45;Car 240 Inspection Bay 4
Accumulator Inspection;2024-08-12;10:00;11:45;Car 33 Inspection Bay 5
Accumulator Inspection;2024-08-12;10:00;11:45;Car 22 Inspection Bay 6
Accumulator Inspection;2024-08-12;10:00;11:45;Car 59 Inspection Bay 7
Accumulator Inspection;2024-08-12;10:00;11:45;Car 24 Inspection Bay 8
Accumulator Inspection;2024-08-12;10:00;11:45;Car 90 Inspection Bay 9
Accumulator Inspection;2024-08-12;10:00;11:45;Car 63 Inspection Bay 10
Accumulator Inspection;2024-08-12;10:00;11:45;Car 44 Inspection Bay 13
Accumulator Inspection;2024-08-12;10:00;11:45;Car 71 Inspection Bay 14
Accumulator Inspection;2024-08-12;10:00;11:45;Car 99 Inspection Bay 15
Accumulator Inspection;2024-08-12;10:00;11:45;Car 31 Inspection Bay 16
Accumulator Inspection;2024-08-12;10:00;11:45;Car 15 Inspection Bay 17
Accumulator Inspection;2024-08-12;10:00;11:45;Car 49 Inspection Bay 18
Accumulator Inspection;2024-08-12;10:00;11:45;Car 313 Inspection Bay 19
Accumulator Inspection;2024-08-12;10:00;11:45;Car 41 Inspection Bay 20
Accumulator Inspection;2024-08-12;10:00;11:45;Car 340 Inspection Bay 21
Mechanical Inspection;2024-08-12;11:30;12:45;Car 95 Inspection Bay 1
Mechanical Inspection;2024-08-12;11:30;12:45;Car 172 Inspection Bay 11
Mechanical Inspection;2024-08-12;11:30;12:45;Car 297 Inspection Bay 12
Mechanical Inspection;2024-08-12;11:30;12:45;Car 96 Inspection Bay 22
Mechanical Inspection;2024-08-12;11:30;12:45;Car 51 Inspection Bay 23
Mechanical Inspection;2024-08-12;11:30;12:45;Car 85 Inspection Bay 33
Mechanical Inspection;2024-08-12;11:30;12:45;Car 62 Inspection Bay 34
Accumulator Inspection;2024-08-12;12:45;14:30;Car 114 Inspection Bay 24
Accumulator Inspection;2024-08-12;12:45;14:30;Car 124 Inspection Bay 25
Accumulator Inspection;2024-08-12;12:45;14:30;Car 13 Inspection Bay 26
Accumulator Inspection;2024-08-12;12:45;14:30;Car 66 Inspection Bay 27
Accumulator Inspection;2024-08-12;12:45;14:30;Car 50 Inspection Bay 28
Accumulator Inspection;2024-08-12;12:45;14:30;Car 78 Inspection Bay 29
Accumulator Inspection;2024-08-12;12:45;14:30;Car 42 Inspection Bay 30
Accumulator Inspection;2024-08-12;12:45;14:30;Car 95 Inspection Bay 31
Accumulator Inspection;2024-08-12;12:45;14:30;Car 172 Inspection Bay 32
Accumulator Inspection;2024-08-12;12:45;14:30;Car 297 Inspection Bay 35
Accumulator Inspection;2024-08-12;12:45;14:30;Car 96 Inspection Bay 36
Accumulator Inspection;2024-08-12;12:45;14:30;Car 51 Inspection Bay 37
Accumulator Inspection;2024-08-12;12:45;14:30;Car 85 Inspection Bay 38
Accumulator Inspection;2024-08-12;12:45;14:30;Car 62 Inspection Bay 39
Accumulator Inspection;2024-08-12;12:45;14:30;Car 43 Inspection Bay 40
Accumulator Inspection;2024-08-12;12:45;14:30;Car 35 Inspection Bay 41
Accumulator Inspection;2024-08-12;12:45;14:30;Car 11 Inspection Bay 42
Accumulator Inspection;2024-08-12;12:45;14:30;Car 200 Inspection Bay 43
Mechanical Inspection;2024-08-12;13:45;15:00;Car 92 Inspection Bay 1
Mechanical Inspection;2024-08-12;13:45;15:00;Car 54 Inspection Bay 11
Mechanical Inspection;2024-08-12;13:45;15:00;Car 240 Inspection Bay 12
Mechanical Inspection;2024-08-12;13:45;15:00;Car 33 Inspection Bay 22
Mechanical Inspection;2024-08-12;13:45;15:00;Car 22 Inspection Bay 23
Mechanical Inspection;2024-08-12;13:45;15:00;Car 59 Inspection Bay 33
Mechanical Inspection;2024-08-12;13:45;15:00;Car 24 Inspection Bay 34
Accumulator Inspection;2024-08-12;14:45;16:30;Car 67 Inspection Bay 2
Accumulator Inspection;2024-08-12;14:45;16:30;Car 111 Inspection Bay 3
Accumulator Inspection;2024-08-12;14:45;16:30;Car 84 Inspection Bay 4
Accumulator Inspection;2024-08-12;14:45;16:30;Car 23 Inspection Bay 5
Accumulator Inspection;2024-08-12;14:45;16:30;Car 25 Inspection Bay 6
Accumulator Inspection;2024-08-12;14:45;16:30;Car 140 Inspection Bay 7
Accumulator Inspection;2024-08-12;14:45;16:30;Car 100 Inspection Bay 8
Accumulator Inspection;2024-08-12;14:45;16:30;Car 40 Inspection Bay 9
Accumulator Inspection;2024-08-12;14:45;16:30;Car 76 Inspection Bay 10
Accumulator Inspection;2024-08-12;14:45;16:30;Car 173 Inspection Bay 13
