"day","time","ord","car","what","duration","place"
"Mon","10:00-11:15 ","FSG19","114 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","10:00-11:15 ","FSG20","124 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","10:00-11:15 ","FSG21","13 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","10:00-11:15 ","FSG22","66 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","10:00-11:15 ","FSG23","50 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","10:00-11:15 ","FSG24","78 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","10:00-11:15 ","FSG25","42 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","10:00-11:45 ","FSG01","92 ","Accumulator Inspection ","01:45","Inspection Bay 2 "
"Mon","10:00-11:45 ","FSG02","54 ","Accumulator Inspection ","01:45","Inspection Bay 3 "
"Mon","10:00-11:45 ","FSG03","240 ","Accumulator Inspection ","01:45","Inspection Bay 4 "
"Mon","10:00-11:45 ","FSG04","33 ","Accumulator Inspection ","01:45","Inspection Bay 5 "
"Mon","10:00-11:45 ","FSG05","22 ","Accumulator Inspection ","01:45","Inspection Bay 6 "
"Mon","10:00-11:45 ","FSG06","59 ","Accumulator Inspection ","01:45","Inspection Bay 7 "
"Mon","10:00-11:45 ","FSG07","24 ","Accumulator Inspection ","01:45","Inspection Bay 8 "
"Mon","10:00-11:45 ","FSG08","90 ","Accumulator Inspection ","01:45","Inspection Bay 9 "
"Mon","10:00-11:45 ","FSG09","63 ","Accumulator Inspection ","01:45","Inspection Bay 10 "
"Mon","10:00-11:45 ","FSG10","44 ","Accumulator Inspection ","01:45","Inspection Bay 13 "
"Mon","10:00-11:45 ","FSG11","71 ","Accumulator Inspection ","01:45","Inspection Bay 14 "
"Mon","10:00-11:45 ","FSG12","99 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Mon","10:00-11:45 ","FSG13","31 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Mon","10:00-11:45 ","FSG14","15 ","Accumulator Inspection ","01:45","Inspection Bay 17 "
"Mon","10:00-11:45 ","FSG15","49 ","Accumulator Inspection ","01:45","Inspection Bay 18 "
"Mon","10:00-11:45 ","FSG16","313 ","Accumulator Inspection ","01:45","Inspection Bay 19 "
"Mon","10:00-11:45 ","FSG17","41 ","Accumulator Inspection ","01:45","Inspection Bay 20 "
"Mon","10:00-11:45 ","FSG18","340 ","Accumulator Inspection ","01:45","Inspection Bay 21 "
"Mon","11:30-12:45 ","FSG26","95 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","11:30-12:45 ","FSG27","172 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","11:30-12:45 ","FSG28","297 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","11:30-12:45 ","FSG29","96 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","11:30-12:45 ","FSG30","51 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","11:30-12:45 ","FSG31","85 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","11:30-12:45 ","FSG32","62 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","12:45-14:30 ","FSG19","114 ","Accumulator Inspection ","01:45","Inspection Bay 24 "
"Mon","12:45-14:30 ","FSG20","124 ","Accumulator Inspection ","01:45","Inspection Bay 25 "
"Mon","12:45-14:30 ","FSG21","13 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Mon","12:45-14:30 ","FSG22","66 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
"Mon","12:45-14:30 ","FSG23","50 ","Accumulator Inspection ","01:45","Inspection Bay 28 "
"Mon","12:45-14:30 ","FSG24","78 ","Accumulator Inspection ","01:45","Inspection Bay 29 "
"Mon","12:45-14:30 ","FSG25","42 ","Accumulator Inspection ","01:45","Inspection Bay 30 "
"Mon","12:45-14:30 ","FSG26","95 ","Accumulator Inspection ","01:45","Inspection Bay 31 "
"Mon","12:45-14:30 ","FSG27","172 ","Accumulator Inspection ","01:45","Inspection Bay 32 "
"Mon","12:45-14:30 ","FSG28","297 ","Accumulator Inspection ","01:45","Inspection Bay 35 "
"Mon","12:45-14:30 ","FSG29","96 ","Accumulator Inspection ","01:45","Inspection Bay 36 "
"Mon","12:45-14:30 ","FSG30","51 ","Accumulator Inspection ","01:45","Inspection Bay 37 "
"Mon","12:45-14:30 ","FSG31","85 ","Accumulator Inspection ","01:45","Inspection Bay 38 "
"Mon","12:45-14:30 ","FSG32","62 ","Accumulator Inspection ","01:45","Inspection Bay 39 "
"Mon","12:45-14:30 ","FSG33","43 ","Accumulator Inspection ","01:45","Inspection Bay 40 "
"Mon","12:45-14:30 ","FSG34","35 ","Accumulator Inspection ","01:45","Inspection Bay 41 "
"Mon","12:45-14:30 ","FSG35","11 ","Accumulator Inspection ","01:45","Inspection Bay 42 "
"Mon","12:45-14:30 ","FSG36","200 ","Accumulator Inspection ","01:45","Inspection Bay 43 "
"Mon","13:45-15:00 ","FSG01","92 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","13:45-15:00 ","FSG02","54 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","13:45-15:00 ","FSG03","240 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","13:45-15:00 ","FSG04","33 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","13:45-15:00 ","FSG05","22 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","13:45-15:00 ","FSG06","59 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","13:45-15:00 ","FSG07","24 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","14:45-16:30 ","FSG37","67 ","Accumulator Inspection ","01:45","Inspection Bay 2 "
"Mon","14:45-16:30 ","FSG38","111 ","Accumulator Inspection ","01:45","Inspection Bay 3 "
"Mon","14:45-16:30 ","FSG39","84 ","Accumulator Inspection ","01:45","Inspection Bay 4 "
"Mon","14:45-16:30 ","FSG40","23 ","Accumulator Inspection ","01:45","Inspection Bay 5 "
"Mon","14:45-16:30 ","FSG41","25 ","Accumulator Inspection ","01:45","Inspection Bay 6 "
"Mon","14:45-16:30 ","FSG42","140 ","Accumulator Inspection ","01:45","Inspection Bay 7 "
"Mon","14:45-16:30 ","FSG43","100 ","Accumulator Inspection ","01:45","Inspection Bay 8 "
"Mon","14:45-16:30 ","FSG44","40 ","Accumulator Inspection ","01:45","Inspection Bay 9 "
"Mon","14:45-16:30 ","FSG45","76 ","Accumulator Inspection ","01:45","Inspection Bay 10 "
"Mon","14:45-16:30 ","FSG46","173 ","Accumulator Inspection ","01:45","Inspection Bay 13 "
"Mon","14:45-16:30 ","FSG47","224 ","Accumulator Inspection ","01:45","Inspection Bay 14 "
"Mon","14:45-16:30 ","FSG48","122 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Mon","14:45-16:30 ","FSG49","36 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Mon","14:45-16:30 ","FSG50","20 ","Accumulator Inspection ","01:45","Inspection Bay 17 "
"Mon","14:45-16:30 ","FSG51","133 ","Accumulator Inspection ","01:45","Inspection Bay 18 "
"Mon","14:45-16:30 ","FSG52","52 ","Accumulator Inspection ","01:45","Inspection Bay 19 "
"Mon","14:45-16:30 ","FSG53","69 ","Accumulator Inspection ","01:45","Inspection Bay 20 "
"Mon","14:45-16:30 ","FSG54","399 ","Accumulator Inspection ","01:45","Inspection Bay 21 "
"Mon","15:15-16:30 ","FSG08","90 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","15:15-16:30 ","FSG09","63 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","15:15-16:30 ","FSG10","44 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","15:15-16:30 ","FSG11","71 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","15:15-16:30 ","FSG12","99 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","15:15-16:30 ","FSG13","31 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","15:15-16:30 ","FSG14","15 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","17:00-18:15 ","FSG15","49 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","17:00-18:15 ","FSG16","313 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","17:00-18:15 ","FSG17","41 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","17:00-18:15 ","FSG18","340 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","17:00-18:15 ","FSG33","43 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","17:00-18:15 ","FSG34","35 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","17:00-18:15 ","FSG35","11 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","17:00-18:45 ","FSG55","74 ","Accumulator Inspection ","01:45","Inspection Bay 24 "
"Mon","17:00-18:45 ","FSG56","171 ","Accumulator Inspection ","01:45","Inspection Bay 25 "
"Mon","17:00-18:45 ","FSG57","29 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Mon","17:00-18:45 ","FSG58","34 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
"Mon","17:00-18:45 ","FSG59","47 ","Accumulator Inspection ","01:45","Inspection Bay 28 "
"Mon","17:00-18:45 ","FSG60","48 ","Accumulator Inspection ","01:45","Inspection Bay 29 "
"Mon","17:00-18:45 ","FSG61","98 ","Accumulator Inspection ","01:45","Inspection Bay 30 "
"Mon","17:00-18:45 ","FSG62","46 ","Accumulator Inspection ","01:45","Inspection Bay 31 "
